range_m,seed,path,analytical_delay_samples,measured_delay_samples,residual_samples,xcorr_peak
450.0,0,surface,7190.797,7182.000,8.797,0.8230
450.0,0,bottom,2047.500,2047.000,0.500,0.7024
200.0,0,direct,0.000,0.000,0.000,1.0000
200.0,0,surface,14614.906,14615.000,0.094,0.7094
200.0,0,bottom,4387.280,4387.000,0.280,0.6745
300.0,0,direct,0.000,0.000,0.000,1.0000
300.0,0,surface,10424.023,10424.000,0.023,0.7735
300.0,0,bottom,3023.690,3023.000,0.690,0.6774
1000.0,0,direct,0.000,0.000,0.000,1.0000
1000.0,0,surface,3312.734,3321.000,8.266,0.8439
1000.0,0,bottom,930.871,931.000,0.129,0.6986
